ID,Place (x),Knowledge (y),Action (z),K5Name
3208,-0.009,-0.297,0.745,Indigenous Justice
3212,-0.077,-0.301,0.347,Indigenous Justice
3224,-0.39,-0.554,0.672,Indigenous Justice
3229,-0.234,-0.339,0.511,Indigenous Justice
3244,-0.159,-0.026,0.59,Indigenous Justice
3249,0.188,-0.071,0.89,Indigenous Justice
3284,0.206,-0.357,0.11,Indigenous Justice
3286,0.199,-0.577,0.55,Indigenous Justice
3292,0.07,-0.177,0.275,Indigenous Justice
3296,-0.254,-0.279,0.344,Indigenous Justice
3298,-0.407,-0.06,0.444,Indigenous Justice
3302,-0.169,-0.014,0.623,Indigenous Justice
3308,-0.13,-0.577,0.661,Indigenous Justice
3313,-0.13,-0.095,0.625,Indigenous Justice
3314,0.098,-0.144,0.311,Indigenous Justice
3327,-0.396,-0.069,0.413,Indigenous Justice
3328,-0.178,-0.67,0.514,Indigenous Justice
3348,-0.286,-0.317,0.453,Indigenous Justice
3350,-0.228,-0.132,0.241,Indigenous Justice
3351,-0.203,-0.095,0.452,Indigenous Justice
3352,-0.445,-0.152,0.777,Indigenous Justice
3356,-0.201,-0.27,0.243,Indigenous Justice
3361,-0.236,-0.295,0.488,Indigenous Justice
3364,-0.187,-0.187,0.659,Indigenous Justice
3367,-0.151,-0.254,0.373,Indigenous Justice
3383,-0.009,-0.077,0.446,Indigenous Justice
3384,-0.249,-0.03,0.415,Indigenous Justice
3407,-0.561,-0.25,0.603,Indigenous Justice
3412,-0.125,-0.166,0.416,Indigenous Justice
3416,-0.579,-0.645,0.711,Indigenous Justice
3430,0.039,-0.095,0.688,Indigenous Justice
3449,-0.132,-0.248,0.517,Indigenous Justice
3463,-0.109,-0.051,0.617,Indigenous Justice
3471,-0.397,-0.091,0.482,Indigenous Justice
3478,-0.582,-0.028,0.59,Indigenous Justice
3502,-0.334,-0.038,0.738,Indigenous Justice
3505,-0.166,-0.166,0.44,Indigenous Justice
3506,-0.237,-0.022,0.409,Indigenous Justice
3518,-0.019,-0.226,0.223,Indigenous Justice
3520,-0.079,-0.166,0.234,Indigenous Justice
3521,-0.076,-0.327,0.672,Indigenous Justice
3528,0.227,-0.204,0.71,Indigenous Justice
3529,-0.383,-0.516,0.829,Indigenous Justice
3543,-0.591,-0.036,0.747,Indigenous Justice
3548,-0.401,-0.062,0.538,Indigenous Justice
3556,0.01,-0.329,0.173,Indigenous Justice
3562,-0.324,-0.312,0.394,Indigenous Justice
3564,-0.137,-0.35,0.677,Indigenous Justice
3572,-0.161,-0.15,0.481,Indigenous Justice
3573,0.155,-0.478,0.506,Indigenous Justice
3574,-0.217,-0.109,0.666,Indigenous Justice
3581,-0.561,-0.045,0.582,Indigenous Justice
3591,-0.239,-0.416,0.309,Indigenous Justice
3597,0.134,-0.099,0.309,Indigenous Justice
3601,-0.316,-0.028,0.379,Indigenous Justice
3607,-0.054,-0.011,0.267,Indigenous Justice
3608,-0.393,-0.169,0.53,Indigenous Justice
3620,-0.355,-0.128,0.511,Indigenous Justice
3621,-0.085,-0.454,0.361,Indigenous Justice
3631,-0.155,-0.375,0.27,Indigenous Justice
3634,-0.162,-0.032,0.564,Indigenous Justice
3636,-0.309,-0.096,0.313,Indigenous Justice
3642,-0.136,-0.215,0.627,Indigenous Justice
3660,-0.199,-0.079,0.395,Indigenous Justice
3667,-0.214,-0.301,0.437,Indigenous Justice
3682,-0.205,-0.293,0.344,Indigenous Justice
3685,0.035,-0.287,0.461,Indigenous Justice
3686,-0.185,-0.348,0.43,Indigenous Justice
3687,-0.114,-0.178,0.308,Indigenous Justice
3740,-0.229,-0.591,0.785,Indigenous Justice
3741,-0.06,-0.128,0.48,Indigenous Justice
3742,-0.651,-0.317,0.694,Indigenous Justice
3758,-0.364,-0.607,0.526,Indigenous Justice
3763,0.018,-0.683,0.745,Indigenous Justice
3764,-0.245,-0.242,0.29,Indigenous Justice
3767,-0.521,-0.536,0.557,Indigenous Justice
3772,-0.288,-0.146,0.775,Indigenous Justice
3791,-0.154,-0.206,0.268,Indigenous Justice
3819,-0.572,-0.418,0.604,Indigenous Justice
3826,0.081,-0.288,0.191,Indigenous Justice
3831,-0.449,-0.411,0.641,Indigenous Justice
3838,-0.204,-0.073,0.404,Indigenous Justice
3840,-0.063,-0.35,0.85,Indigenous Justice
3846,-0.224,-0.092,0.494,Indigenous Justice
3847,-0.301,-0.065,0.587,Indigenous Justice
3851,-0.138,-0.276,0.145,Indigenous Justice
3852,-0.268,-0.052,0.768,Indigenous Justice
4024,-0.239,-0.454,0.573,Indigenous Justice
4029,-0.345,-0.49,0.564,Indigenous Justice
4037,-0.22,-0.136,0.846,Indigenous Justice
4048,-0.149,-0.354,0.317,Indigenous Justice
4049,-0.154,-0.374,0.659,Indigenous Justice
4056,-0.095,-0.147,0.277,Indigenous Justice
4070,-0.554,-0.519,0.571,Indigenous Justice
4071,-0.219,-0.187,0.497,Indigenous Justice
4073,-0.412,-0.076,0.536,Indigenous Justice
4114,-0.412,-0.076,0.536,Indigenous Justice
4174,-0.52,-0.812,0.623,Indigenous Justice
4183,-0.279,-0.289,0.745,Indigenous Justice
4225,-0.303,-0.214,0.684,Indigenous Justice
